Title,URL
AZ melonoma report:,https://www.azdhs.gov/documents/preparedness/public-health-statistics/cancer-registry/studies/az-melanoma-reporting-2022-1.pdf
Skin Cancer Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/skin-cancer/symptoms-causes/syc-20377605
"Skin Cancer (Including Melanoma)—Patient Version
",https://www.cancer.gov/types/skin
"Skin Cancer 
",https://www.cancer.org/cancer/types/skin-cancer.html
Basic Information About Skin Cancer CDC,https://www.cdc.gov/cancer/skin/basic_info/index.htm
"Skin Cancer: Symptoms, Types & Treatment Cleveland Clinic ",https://my.clevelandclinic.org/health/diseases/15818-skin-cancer
Skin Cancer CDC,https://www.cdc.gov/cancer/skin/index.htm
Cancer Center Skin Cancer Institute,https://azskincancerinstitute.org/sci/about
SKIN CANCER American Academy of Dermatology,https://www.aad.org/media/stats-skin-cancer
Skin Cancer MD Anderson,https://www.mdanderson.org/cancer-types/skin-cancer.html
Skin Cancer Harvard Health ,https://www.health.harvard.edu/topics/skin-cancer
Skin Cancer Yale Medicine,https://www.yalemedicine.org/conditions/skin-cancer
Skin Cancer UC Davis Health,https://health.ucdavis.edu/conditions/cancer/skin-cancer
Skin Cancer Prevention AACR,https://www.aacr.org/patients-caregivers/cancer/skin-cancer/skin-cancer-prevention-pdq/
Radiation: Ultraviolet radiation and skin cancer WHO,https://www.who.int/news-room/questions-and-answers/item/radiation-ultraviolet-(uv)-radiation-and-skin-cancer
Skin Cancer Mount Sinai,https://www.who.int/news-room/questions-and-answers/item/radiation-ultraviolet-(uv)-radiation-and-skin-cancer
Skin Cancer of the Head and Neck,https://www.hopkinsmedicine.org/health/conditions-and-diseases/skin-cancer-of-the-head-and-neck
